FY,amount.gdp,deflator.index.gdp.2009,deflator.index.gdp.2020,amount.gdp.deflated.gdp.2009,amount.gdp.deflated.gdp.2020
1940,982e8,0.0771,0.0671427327353479,1273670557717.2502,1462555901426.7185
1941,1162e8,0.08,0.06966820517286423,14525e8,166790575e4
1942,1477e8,0.086,0.07489332056082904,1717441860465.1165,1972138488372.0935
1943,1846e8,0.0915,0.07968300966646345,2017486338797.8142,2316679562841.5303
1944,2138e8,0.0948,0.08255682312984411,2255274261603.3755,2589731434599.1562
1945,2264e8,0.0971,0.08455978402856396,2331616889804.325,2677395674562.307
1946,228e9,0.1045,0.0910040930070539,2181818181818.182,2505381818181.8184
1947,2389e8,0.1159,0.10093181224418706,2061259706643.6582,2366944521138.913
1948,261899999999.99997,0.1269,0.11051119045545589,2063829787234.042,2369895744680.8506
1949,2765e8,0.1312,0.11425585648349734,2107469512195.1218,2420007240853.6587
1950,278675e6,0.1294,0.11268832186710788,2153593508500.773,2472971425811.438
1951,32705e7,0.1363,0.11869720456326743,2399486426999.266,2755330264123.258
1952,3571e8,0.1418,0.12348689366890185,2518335684062.059,2891804866008.463
1953,38205e7,0.1444,0.12575111033701994,2645775623268.698,3038144148199.4463
1954,38715e7,0.1461,0.1272315596969433,2649897330595.4824,3042877104722.7925
1955,406325e6,0.1472,0.12818949751807018,2760360054347.826,3169721450407.609
1956,43825e7,0.151,0.13149873726378122,2902317880794.702,3332731622516.5566
1957,463375e6,0.1566,0.1363755116258817,2958971902937.4204,3397787436143.04
1958,473475e6,0.1613,0.1404685186797875,2935368877867.328,3370684082455.053
1959,5046e8,0.1638,0.1426456500914395,3080586080586.0806,3537436996336.9966
1960,534325000000.00006,0.1661,0.14464861099015935,3216887417218.5435,3693951821192.0537
1961,546575000000.00006,0.1683,0.14656448663241312,3247623291740.939,3729245825906.121
1962,585675e6,0.17,0.1480449359923365,3445147058823.5293,3956062367647.0586
1963,6182e8,0.172,0.14978664112165807,3594186046511.6284,4127203837209.303
1964,6617e8,0.1742,0.15170251676391186,3798507462686.5674,4361826119402.9854
1965,709325e6,0.1772,0.15431507445789427,4002962753950.339,4596602130361.174
1966,780475e6,0.181,0.15762431420360531,4312016574585.6353,4951488632596.686
1967,836525e6,0.1865,0.16241400330923972,4485388739946.381,5150571890080.43
1968,897575e6,0.193,0.16807454497953495,4650647668393.782,5340338717616.581
1969,980275e6,0.2018,0.17573804754855002,4857656095143.706,5578046494053.519
1970,1046675e6,0.2126,0.18514325524688668,4923212605832.549,5653325035277.517
1971,111655e7,0.2234,0.19454846294522335,4997985675917.637,5739186951656.223
1972,121625e7,0.234,0.20377950013062787,5197649572649.572,5968461004273.505
1973,1352725e6,0.2442,0.21266219629016805,5539414414414.414,6360909572072.072
1974,148285e7,0.2616,0.22781503091526603,5668386850152.905,6509008620030.581
1975,1606925e6,0.2886,0.2513280501611077,5568000693000.692,6393735195772.696
1976,17861e8,0.3087,0.26883218671078984,5785876255264.011,6643921703919.663
1977,2024325e6,0.331,0.28825219890272574,6115785498489.426,7022756487915.408
1978,227345e7,0.3533,0.30767221109466164,6434899518822.53,7389195117463.912
1979,2565575e6,0.3818,0.3324915091874945,6719683080146.674,7716212080932.427
1980,27919e8,0.4151,0.3614908995906993,6725849192965.55,7723292628282.342
1981,3133225e6,0.4559,0.39702168422886003,6872614608466.769,7891823354902.392
1982,331335e7,0.4876,0.4246277105286074,6795221493027.071,7802952840442.987
1983,3536e9,0.5089,0.4431768701558826,6948319905678.915,7978755747691.099
1984,3949175e6,0.5271,0.4590263868327092,7492269019161.449,8603372514703.093
1985,4265125e6,0.5447,0.4743533919707393,7830227648246.742,8991450408481.734
1986,452625e7,0.5569,0.48497779325960105,8127581253366.853,9332901553241.158
1987,476765e7,0.5694,0.49586345031786117,8373112047769.582,9614844564453.81
1988,513855e7,0.5878,0.5118871375076199,8742004083021.436,10038443288533.516
1989,5554675e6,0.6116,0.532613428546547,9082202419882.275,10429093038750.818
1990,589875e7,0.634,0.552120525994949,9304022082018.928,10683808556782.336
1991,6093175e6,0.6566,0.5718017939562832,9279888821200.123,10656096333384.1
1992,641625e7,0.673,0.5860837760167203,9533803863298.662,10947666976225.855
1993,6775325e6,0.6888,0.599843246538361,9836418408826.945,11295159258855.982
1994,717685e7,0.7038,0.612906035008273,10197286160841.148,11709543698493.893
1995,7560425e6,0.7188,0.625968823478185,10518120478575.404,12077957745548.137
1996,7951325e6,0.7323,0.6377253331011059,10858015840502.527,12468259589649.053
1997,8451025e6,0.7453,0.6490464164416964,11339091640949.953,13020678931302.832
1998,89308e8,0.7546,0.6571453452930419,11835144447389.344,13590296368937.186
1999,947935e7,0.7643,0.6655926151702516,12402656025121.025,14241969913646.477
2000,1011745e7,0.78,0.6792650004354263,12971089743589.742,14894702352564.104
2001,105265e8,0.7984,0.695288687625185,13184493987975.951,15139754446392.785
2002,1083365e7,0.8112,0.7064356004528433,13355091222879.684,15335651251232.744
2003,112838e8,0.826,0.7193242184098231,13660774818401.938,15686667723970.947
2004,1202545e7,0.8458,0.7365670991901071,14217841097186.096,16326346931898.795
2005,1283415e7,0.8716,0.7590350953583558,14724816429554.842,16908506706057.826
2006,13638375e6,0.8995,0.7833318819123921,15162173429683.158,17410723749305.172
2007,142908e8,0.924,0.8046677697465818,15466233766233.766,17759876233766.234
2008,14743325e6,0.9431,0.8213010537316032,15632833209627.822,17951182374615.63
2009,144318e8,0.954,0.8307933466864059,15127672955974.844,17371106855345.914
2010,1483885e7,0.9622,0.8379343377166245,15421793805861.566,17708845827270.84
2011,15403675e6,0.9814,0.854654706958112,15695613409415.121,18023272878031.383
2012,1605645e7,1,0.8708525646608029,1605645e7,18437621535e3
2013,16603775000000.002,1.0184,0.8868762518505616,16303785349567.951,18721636716908.88
2014,17332900000000.002,1.0381,0.9040320473743795,16696753684616.127,19172882256044.7
2015,18090325e6,1.0507,0.9150047896891055,17217402683925.002,19770743501951.082
2016,1855095e7,1.0604,0.9234520595663154,17494294605809.129,20088698495850.625
2017,1927225e7,1.0796,0.9401724288078027,17851287513894.035,20498633452204.523
2018,202359e8,1.103,0.9605503788208656,18346237533998.188,21066984560290.117
2019,212889e8,1.1254,0.9800574762692675,18916740714412.652,21722093362360.05
2020,224097e8,1.1483,1,19515544718279.195,224097e8
2021,235578e8,1.1712,1.0199425237307322,20114241803278.688,23097183862704.92
2022,247533e8,1.1948,1.0404946442567273,20717525945764.98,23789935043521.93
2023,260068e8,1.2188,1.0613951058085866,21338037413849.688,24502468362323.598
2024,273257e8,1.2433,1.0827309936427763,21978364031207.27,25237755417035.31
