table.base.year,FY,index,index.base.year
2008,1940,0.0978,2e3
2008,1941,0.1014,2e3
2008,1942,0.1089,2e3
2008,1943,0.1163,2e3
2008,1944,0.1209,2e3
2008,1945,0.1239,2e3
2008,1946,0.1328,2e3
2008,1947,0.1466,2e3
2008,1948,0.1606,2e3
2008,1949,0.166,2e3
2008,1950,0.1635,2e3
2008,1951,0.1723,2e3
2008,1952,0.1792,2e3
2008,1953,0.1825,2e3
2008,1954,0.1846,2e3
2008,1955,0.1862,2e3
2008,1956,0.1911,2e3
2008,1957,0.1983,2e3
2008,1958,0.2043,2e3
2008,1959,0.2075,2e3
2008,1960,0.21,2e3
2008,1961,0.213,2e3
2008,1962,0.2154,2e3
2008,1963,0.2181,2e3
2008,1964,0.2207,2e3
2008,1965,0.2245,2e3
2008,1966,0.2293,2e3
2008,1967,0.2367,2e3
2008,1968,0.2451,2e3
2008,1969,0.2563,2e3
2008,1970,0.2703,2e3
2008,1971,0.2838,2e3
2008,1972,0.2972,2e3
2008,1973,0.3103,2e3
2008,1974,0.3327,2e3
2008,1975,0.3673,2e3
2008,1976,0.3938,2e3
2008,1977,0.4233,2e3
2008,1978,0.4518,2e3
2008,1979,0.4882,2e3
2008,1980,0.531,2e3
2008,1981,0.583,2e3
2008,1982,0.6229,2e3
2008,1983,0.6504,2e3
2008,1984,0.6744,2e3
2008,1985,0.6963,2e3
2008,1986,0.7125,2e3
2008,1987,0.7311,2e3
2008,1988,0.7541,2e3
2008,1989,0.7834,2e3
2008,1990,0.8125,2e3
2008,1991,0.843,2e3
2008,1992,0.8642,2e3
2008,1993,0.8838,2e3
2008,1994,0.9028,2e3
2008,1995,0.9218,2e3
2008,1996,0.9395,2e3
2008,1997,0.9559,2e3
2008,1998,0.9675,2e3
2008,1999,0.9802,2e3
2008,2000,1,2e3
2008,2001,1.0236,2e3
2008,2002,1.0432,2e3
2008,2003,1.0643,2e3
2008,2004,1.0918,2e3
2008,2005,1.1251,2e3
2008,2006,1.1598,2e3
2008,2007,1.1892,2e3
2008,2008,1.218,2e3
2008,2009,1.2457,2e3
2008,2010,1.2726,2e3
2008,2011,1.2988,2e3
2008,2012,1.3247,2e3
2009,1940,0.0978,2e3
2009,1941,0.1014,2e3
2009,1942,0.1089,2e3
2009,1943,0.1163,2e3
2009,1944,0.1209,2e3
2009,1945,0.1239,2e3
2009,1946,0.1328,2e3
2009,1947,0.1466,2e3
2009,1948,0.1606,2e3
2009,1949,0.166,2e3
2009,1950,0.1635,2e3
2009,1951,0.1723,2e3
2009,1952,0.1792,2e3
2009,1953,0.1825,2e3
2009,1954,0.1846,2e3
2009,1955,0.1862,2e3
2009,1956,0.1911,2e3
2009,1957,0.1983,2e3
2009,1958,0.2043,2e3
2009,1959,0.2075,2e3
2009,1960,0.21,2e3
2009,1961,0.213,2e3
2009,1962,0.2154,2e3
2009,1963,0.2181,2e3
2009,1964,0.2207,2e3
2009,1965,0.2245,2e3
2009,1966,0.2293,2e3
2009,1967,0.2367,2e3
2009,1968,0.2451,2e3
2009,1969,0.2563,2e3
2009,1970,0.2703,2e3
2009,1971,0.2838,2e3
2009,1972,0.2972,2e3
2009,1973,0.3103,2e3
2009,1974,0.3327,2e3
