FY,amount.gdp,deflator.index.gdp.2012,deflator.index.gdp.2022,amount.deflated.gdp.2012,amount.deflated.gdp.2022
1940,98200000000,0.0771,0.06538885590704775,1273670557717.2502,1501784954604.4097
1941,116200000000,0.08,0.06784835891781868,1452500000000,1712642750000
1942,147700000000,0.086,0.07293698583665507,1717441860465.1165,2025035697674.4187
1943,184600000000,0.0915,0.0776015605122551,2017486338797.8142,2378818142076.503
1944,213800000000,0.0948,0.08040030531761512,2255274261603.3755,2659193881856.5405
1945,226400000000,0.0971,0.08235094563650242,2331616889804.325,2749209474768.2803
1946,228000000000,0.1045,0.08862691883640064,2181818181818.182,2572581818181.8184
1947,238900000000,0.1159,0.0982953099821898,2061259706643.6582,2430431320103.5376
1948,261899999999.99997,0.1269,0.10762445933338988,2063829787234.042,2433461702127.659
1949,276500000000,0.1312,0.11127130862522264,2107469512195.1218,2484917301829.268
1950,278675000000,0.1294,0.1097447205495717,2153593508500.773,2539302105873.261
1951,327050000000,0.1363,0.11559664150623357,2399486426999.266,2829234446074.835
1952,357100000000,0.1418,0.12026121618183361,2518335684062.059,2969369605077.5737
1953,382050000000,0.1444,0.1224662878466627,2645775623268.698,3119634037396.122
1954,387150000000,0.1461,0.12390806547366635,2649897330595.4824,3124493942505.1333
1955,406325000000,0.1472,0.12484098040878636,2760360054347.826,3254740540081.522
1956,438250000000,0.151,0.12806377745738273,2902317880794.702,3422123013245.0337
1957,463375000000,0.1566,0.13281316258163003,2958971902937.4204,3488923770753.5127
1958,473475000000,0.1613,0.1367992536680519,2935368877867.328,3461093443893.3667
1959,504600000000,0.1638,0.13891951488423374,3080586080586.0806,3632319047619.048
1960,534325000000.00006,0.1661,0.14087015520312102,3216887417218.5435,3793031953642.385
1961,546575000000.00006,0.1683,0.14273598507336105,3247623291740.939,3829272623291.741
1962,585675000000,0.17,0.1441777627003647,3445147058823.5293,4062172897058.823
1963,618200000000,0.172,0.14587397167331015,3594186046511.6284,4237904767441.8604
1964,661700000000,0.1742,0.14773980154355015,3798507462686.5674,4478820149253.731
1965,709325000000,0.1772,0.15028411500296837,4002962753950.339,4719893383182.844
1966,780475000000,0.181,0.15350691205156475,4312016574585.6353,5084298743093.923
1967,836525000000,0.1865,0.15817148672716477,4485388739946.381,5288721863270.778
1968,897575000000,0.193,0.16368416588923757,4650647668393.782,5483578665803.108
