FY,amount.gdp,deflator.index.gdp.2012,deflator.index.gdp.2022,amount.deflated.gdp.2012,amount.deflated.gdp.2022
1969,980275000000,0.2018,0.1711474853701976,4857656095143.706,5727662301783.944
1970,1046675000000,0.2126,0.18030701382410314,4923212605832.549,5804959983537.159
1971,1116550000000,0.2234,0.18946654227800863,4997985675917.637,5893124910474.485
1972,1216250000000,0.234,0.19845644983461963,5197649572649.572,6128548611111.111
1973,1352725000000,0.2442,0.2071071155966415,5539414414414.414,6531523536036.036
1974,1482850000000,0.2616,0.22186413366126706,5668386850152.905,6683594935015.291
1975,1606925000000,0.2886,0.24476295479603088,5568000693000.692,6565229617117.117
1976,1786100000000,0.3087,0.2618098549741328,5785876255264.011,6822126692581.795
1977,2024325000000,0.331,0.28072258502247477,6115785498489.426,7211122681268.882
1978,2273450000000,0.3533,0.2996353150708167,6434899518822.53,7587390022643.646
1979,2565575000000,0.3818,0.3238062929352896,6719683080146.674,7923178319800.943
1980,2791900000000,0.4151,0.35204817233483165,6725849192965.55,7930448783425.681
1981,3133225000000,0.4559,0.38665083538291917,6872614608466.769,8103499884843.168
1982,3313350000000,0.4876,0.4135357476041048,6795221493027.071,8012245662428.221
1983,3536000000000,0.5089,0.43160037316597405,6948319905678.915,8192764000786.009
1984,3949175000000,0.5271,0.4470358748197778,7492269019161.449,8834134400493.266
1985,4265125000000,0.5447,0.46196251378169784,7830227648246.742,9232621420047.734
1986,4526250000000,0.5569,0.4723093885166652,8127581253366.853,9583231055844.855
1987,4767650000000,0.5694,0.4829106945975744,8373112047769.582,9872736415525.115
1988,5138550000000,0.5878,0.4985158171486727,8742004083021.436,10307697014290.574
1989,5554675000000,0.6116,0.5187007039267237,9082202419882.275,10708824873283.191
1990,5898750000000,0.634,0.537698244423713,9304022082018.928,10970372436908.518
1991,6093175000000,0.6566,0.5568654058179967,9279888821200.123,10941916909077.064
1992,6416250000000,0.673,0.5707743193961496,9533803863298.662,11241308135215.453
1993,6775325000000,0.6888,0.5841743702824187,9836418408826.945,11598120945847.854
1994,7176850000000,0.7038,0.5968959375795098,10197286160841.148,12023620112247.799
1995,7560425000000,0.7188,0.6096175048766008,10518120478575.404,12401915856288.258
1996,7951325000000,0.7323,0.6210669154439826,10858015840502.527,12802686477536.53
1997,8451025000000,0.7453,0.6320922737681282,11339091640949.953,13369922953844.092
1998,8930800000000,0.7546,0.6399796454923247,11835144447389.344,13954818817916.777
1999,9479350000000,0.7643,0.6482062590111102,12402656025121.025,14623971719220.201
2000,10117450000000,0.78,0.6615214994487321,12971089743589.742,15294211916666.668
2001,10526500000000,0.7984,0.6771266219998303,13184493987975.951,15545836861222.447
2002,10833650000000,0.8112,0.6879823594266814,13355091222879.684,15746988060897.436
2003,11283800000000,0.826,0.7005343058264778,13660774818401.938,16107419588377.725
2004,12025450000000,0.8458,0.7173267746586379,14217841097186.096,16764256437692.127
2005,12834150000000,0.8716,0.7392078704096344,14724816429554.842,17362031052088.115
2006,13638375000000,0.8995,0.7628699855822236,15162173429683.158,17877718690939.414
2007,14290800000000,0.924,0.7836485455008058,15466233766233.766,18236236233766.23
2008,14743325000000,0.9431,0.799847341192435,15632833209627.822,18432673637472.164
2009,14431800000000,0.954,0.8090916800949877,15127672955974.844,17837039182389.938
2010,14838850000000,0.9622,0.8160461368840641,15421793805861.566,18183837076491.375
2011,15403675000000,0.9814,0.8323297430243406,15695613409415.121,18506697771041.37
2012,16056450000000,1,0.8481044864727334,16056450000000,18932160195000
2013,16603775000000.002,1.0184,0.8637096090238316,16303785349567.951,19223793305675.574
2014,17335575000000,1.038,0.8803324569586973,16700939306358.38,19692077536127.168
2015,18106075000000,1.0496,0.8901704690017811,17250452553353.656,20340008605659.297
2016,18581650000000,1.0589,0.8980578407259774,17548068750590.236,20690927863820.95
2017,19316625000000,1.0777,0.9140022050716649,17923935232439.453,21134112032569.36
2018,20368900000000,1.1026,0.9351200067848359,18473517141302.375,21782124061309.633
2019,21223850000000,1.1244,0.9536086845899415,18875711490572.75,22256351418534.33
2020,20999725000000,1.1385,0.9655669578492071,18445081247255.16,21748595298638.56
2021,22029975000000,1.1578,0.9819353744381307,19027444290896.527,22435259563396.098
2022,23499700000000,1.1791,1,19930201000763.293,23499700000000
2023,24563325000000,1.2019,1.0193367822915782,20437078791912.805,24097359603544.39
2024,25536500000000,1.226,1.0397761004155712,20829119086460.03,24559614314845.023
2025,26516025000000,1.2505,1.0605546603341531,21204338264694.125,25002035247900.84
2026,27533225000000,1.2755,1.0817572724959716,21586221089768.72,25452313286946.293
