FY,amount.gdp,deflator.index.gdp.2012,deflator.index.gdp.2021,amount.deflated.gdp.2012,amount.deflated.gdp.2021
1940,98200000000,0.0771,0.06591433700948962,1273670557717.2502,1489812451361.8674
1941,116200000000,0.08,0.068393605197914,1452500000000,1698989249999.9998
1942,147700000000,0.086,0.07352312558775755,1717441860465.1165,2008891744186.0464
1943,184600000000,0.0915,0.07822518594511413,2017486338797.8142,2359853770491.803
1944,213800000000,0.0948,0.08104642215952808,2255274261603.3755,2637994303797.4688
1945,226400000000,0.0971,0.08301273830896812,2331616889804.325,2727292276004.119
1946,228000000000,0.1045,0.08933914678977516,2181818181818.182,2552072727272.727
1947,238900000000,0.1159,0.0990852355304779,2061259706643.6582,2411055478861.087
1948,261899999999.99997,0.1269,0.10848935624519108,2063829787234.042,2414061702127.659
1949,276500000000,0.1312,0.11216551252457896,2107469512195.1218,2465107088414.634
1950,278675000000,0.1294,0.11062665640762588,2153593508500.773,2519058326893.354
1951,327050000000,0.1363,0.11652560485594597,2399486426999.266,2806679273661.042
1952,357100000000,0.1418,0.12122766521330257,2518335684062.059,2945697249647.3906
1953,382050000000,0.1444,0.12345045738223477,2645775623268.698,3094763746537.396
1954,387150000000,0.1461,0.12490382149269044,2649897330595.4824,3099584907597.5356
1955,406325000000,0.1472,0.12584423356416174,2760360054347.826,3228793155570.6523
1956,438250000000,0.151,0.12909292981106266,2902317880794.702,3394841225165.563
1957,463375000000,0.1566,0.13388048217491663,2958971902937.4204,3461109434865.901
1958,473475000000,0.1613,0.1378986064802941,2935368877867.328,3433500976441.4136
1959,504600000000,0.1638,0.1400359066427289,3080586080586.0806,3603361538461.538
1960,534325000000.00006,0.1661,0.14200222279216893,3216887417218.5435,3762793211920.5303
1961,546575000000.00006,0.1683,0.14388304693511159,3247623291740.939,3798744964349.376
1962,585675000000,0.17,0.14533641104556724,3445147058823.5293,4029788514705.8823
1963,618200000000,0.172,0.1470462511755151,3594186046511.6284,4204119418604.651
1964,661700000000,0.1742,0.14892707531845772,3798507462686.5674,4443114179104.478
1965,709325000000,0.1772,0.1514918355133795,4002962753950.339,4682265533295.711
1966,780475000000,0.181,0.1547405317602804,4312016574585.6353,5043765787292.817
1967,836525000000,0.1865,0.159442592117637,4485388739946.381,5246559209115.281
1968,897575000000,0.193,0.16499957253996753,4650647668393.782,5439862577720.207
1969,980275000000,0.2018,0.17252286911173806,4857656095143.706,5682000334489.594
1970,1046675000000,0.2126,0.18175600581345647,4923212605832.549,5758681785042.332
1971,1116550000000,0.2234,0.19098914251517482,4997985675917.637,5846143845120.859
1972,1216250000000,0.234,0.20005129520389844,5197649572649.572,6079690705128.205
1973,1352725000000,0.2442,0.20877147986663247,5539414414414.414,6479453040540.541
1974,1482850000000,0.2616,0.22364708899717878,5668386850152.905,6630312098623.853
1975,1606925000000,0.2886,0.24672993075147476,5568000693000.692,6512890410602.91
1976,1786100000000,0.3087,0.2639138240574506,5785876255264.011,6767739455782.313
1977,2024325000000,0.331,0.2829785415063692,6115785498489.426,7153634297583.08
1978,2273450000000,0.3533,0.3020432589552877,6434899518822.53,7526901967166.713
1979,2565575000000,0.3818,0.32640848080704454,6719683080146.674,7860013298847.564
1980,2791900000000,0.4151,0.35487731897067626,6725849192965.55,7867225801011.804
1981,3133225000000,0.4559,0.3897580576216124,6872614608466.769,8038897307523.579
1982,3313350000000,0.4876,0.4168590236812858,6795221493027.071,7948370580393.766
1983,3536000000000,0.5089,0.4350688210652304,6948319905678.915,8127449793672.627
1984,3949175000000,0.5271,0.4506283662477559,7492269019161.449,8763707071713.146
1985,4265125000000,0.5447,0.4656749593912969,7830227648246.742,9159017280154.215
1986,4526250000000,0.5569,0.4761049841839788,8127581253366.853,9506831792063.207
1987,4767650000000,0.5694,0.4867914849961529,8373112047769.582,9794029162276.08
1988,5138550000000,0.5878,0.5025220141916731,8742004083021.436,10225522175910.174
1989,5554675000000,0.6116,0.5228691117380525,9082202419882.275,10623452170536.299
1990,5898750000000,0.634,0.5420193211934684,9304022082018.928,10882914629337.54
1991,6093175000000,0.6566,0.5613405146618791,9279888821200.123,10854685954157.783
1992,6416250000000,0.673,0.5753612037274516,9533803863298.662,11151690378900.443
1993,6775325000000,0.6888,0.5888689407540395,9836418408826.945,11505658612804.877
1994,7176850000000,0.7038,0.6016927417286484,10197286160841.148,11927765622335.89
1995,7560425000000,0.7188,0.6145165427032573,10518120478575.404,12303045523789.648
1996,7951325000000,0.7323,0.6260579635804052,10858015840502.527,12700621128635.805
1997,8451025000000,0.7453,0.6371719244250662,11339091640949.953,13263335492419.162
1998,8930800000000,0.7546,0.6451226810293238,11835144447389.344,13843568460111.316
1999,9479350000000,0.7643,0.6534154056595708,12402656025121.025,14507386752584.064
2000,10117450000000,0.78,0.6668376506796615,12971089743589.742,15172283673076.922
2001,10526500000000,0.7984,0.6825681798751817,13184493987975.951,15421902617735.47
2002,10833650000000,0.8112,0.6935111567068479,13355091222879.684,15621450203402.367
2003,11283800000000,0.826,0.706163973668462,13660774818401.938,15979008305084.746
2004,12025450000000,0.8458,0.7230913909549457,14217841097186.096,16630608731378.578
2005,12834150000000,0.8716,0.745148328631273,14724816429554.842,17223617777650.297
2006,13638375000000,0.8995,0.7690005984440454,15162173429683.158,17735194260700.39
2007,14290800000000,0.924,0.7899461400359067,15466233766233.766,18090853636363.637
2008,14743325000000,0.9431,0.8062751132769087,15632833209627.822,18285725005301.664
2009,14431800000000,0.954,0.8155937419851244,15127672955974.844,17694839056603.773
2010,14838850000000,0.9622,0.8226040865179106,15421793805861.566,18038872214716.273
2011,15403675000000,0.9814,0.83901855176541,15695613409415.121,18359159004992.867
2012,16056450000000,1,0.8549200649739249,16056450000000,18781229565000
2013,16603775000000.002,1.0184,0.8706505941694451,16303785349567.951,19070537723389.633
2014,17335575000000,1.038,0.8874070274429341,16700939306358.38,19535088706647.4
2015,18099550000000,1.05,0.8976660682226213,17237666666666.666,20162898699999.996
2016,18554775000000,1.0593,0.9056168248268787,17516071934296.234,20488549341546.305
2017,19287650000000,1.0781,0.9216893220483886,17890409052963.547,20926411469251.457
2018,20335525000000,1.1032,0.943147815679234,18433217005076.145,21561333930837.562
2019,21215700000000,1.1246,0.961443105069676,18865107593811.133,22066516352480.883
2020,22210900000000,1.1468,0.9804223305120972,19367718869898.848,22654420762120.684
2021,23353100000000,1.1697,1,19965033769342.566,23353100000000
2022,24542700000000,1.1932,1.0200906215268872,20568806570566.543,24059333045591.688
2023,25790700000000,1.2171,1.0405232110797642,21190288390436.28,24786280330293.316
2024,27104100000000,1.2416,1.0614687526716253,21829977448453.61,25534524621456.184
2025,28472700000000,1.2665,1.082756262289476,22481405448085.273,26296499952625.344
