table.base.year,FY,index,index.base.year
2008,1940,0.0809,2e3
2008,1941,0.084,2e3
2008,1942,0.0902,2e3
2008,1943,0.0961,2e3
2008,1944,0.0995,2e3
2008,1945,0.1019,2e3
2008,1946,0.1097,2e3
2008,1947,0.1216,2e3
2008,1948,0.1331,2e3
2008,1949,0.1375,2e3
2008,1950,0.1355,2e3
2008,1951,0.1428,2e3
2008,1952,0.1485,2e3
2008,1953,0.1512,2e3
2008,1954,0.153,2e3
2008,1955,0.1542,2e3
2008,1956,0.1582,2e3
2008,1957,0.1641,2e3
2008,1958,0.1691,2e3
2008,1959,0.1717,2e3
2008,1960,0.1741,2e3
2008,1961,0.1765,2e3
2008,1962,0.1783,2e3
2008,1963,0.1805,2e3
2008,1964,0.1827,2e3
2008,1965,0.1859,2e3
2008,1966,0.1899,2e3
2008,1967,0.1957,2e3
2008,1968,0.2024,2e3
2008,1969,0.2117,2e3
2008,1970,0.2231,2e3
2008,1971,0.2344,2e3
2008,1972,0.2455,2e3
2008,1973,0.2562,2e3
2008,1974,0.2743,2e3
2008,1975,0.3027,2e3
2008,1976,0.3237,2e3
2008,1977,0.347,2e3
2008,1978,0.3703,2e3
2008,1979,0.4001,2e3
2008,1980,0.4349,2e3
2008,1981,0.4775,2e3
2008,1982,0.5103,2e3
2008,1983,0.5327,2e3
2008,1984,0.5515,2e3
2008,1985,0.5698,2e3
2008,1986,0.5828,2e3
2008,1987,0.5958,2e3
2008,1988,0.6151,2e3
2008,1989,0.6396,2e3
2008,1990,0.6627,2e3
2008,1991,0.6862,2e3
2008,1992,0.703,2e3
2008,1993,0.7197,2e3
2008,1994,0.7354,2e3
2008,1995,0.751,2e3
2008,1996,0.765,2e3
2008,1997,0.7785,2e3
2008,1998,0.7881,2e3
2008,1999,0.7981,2e3
2008,2000,0.8147,2e3
2008,2001,0.8342,2e3
2008,2002,0.8477,2e3
2008,2003,0.8639,2e3
2008,2004,0.8853,2e3
2008,2005,0.9131,2e3
2008,2006,0.9428,2e3
2008,2007,0.9684,2e3
2008,2008,0.9885,2e3
2008,2009,1,2e3
2008,2010,1.0088,2e3
2008,2011,1.0293,2e3
2008,2012,1.0481,2e3
2008,2013,1.0658,2e3
2008,2014,1.0852,2e3
2008,2015,1.0983,2e3
2008,2016,1.111,2e3
2008,2017,1.1301,2e3
2008,2018,1.1478,2e3
2008,2019,1.167,2e3
2008,2020,1.1886,2e3
2008,2021,1.2121,2e3
2008,2022,1.2364,2e3
2008,2023,1.2613,2e3
2009,1940,0.0809,2e3
2009,1941,0.084,2e3
2009,1942,0.0902,2e3
2009,1943,0.0961,2e3
2009,1944,0.0995,2e3
2009,1945,0.1019,2e3
2009,1946,0.1097,2e3
2009,1947,0.1216,2e3
2009,1948,0.1331,2e3
2009,1949,0.1375,2e3
2009,1950,0.1355,2e3
2009,1951,0.1428,2e3
2009,1952,0.1485,2e3
2009,1953,0.1512,2e3
2009,1954,0.153,2e3
2009,1955,0.1542,2e3
2009,1956,0.1582,2e3
2009,1957,0.1641,2e3
2009,1958,0.1691,2e3
2009,1959,0.1717,2e3
2009,1960,0.1741,2e3
2009,1961,0.1765,2e3
2009,1962,0.1783,2e3
2009,1963,0.1805,2e3
2009,1964,0.1827,2e3
2009,1965,0.1859,2e3
2009,1966,0.1899,2e3
2009,1967,0.1957,2e3
2009,1968,0.2024,2e3
2009,1969,0.2117,2e3
2009,1970,0.2231,2e3
2009,1971,0.2344,2e3
2009,1972,0.2455,2e3
2009,1973,0.2562,2e3
2009,1974,0.2743,2e3
2009,1975,0.3027,2e3
2009,1976,0.3237,2e3
2009,1977,0.347,2e3
2009,1978,0.3703,2e3
2009,1979,0.4001,2e3
2009,1980,0.4349,2e3
2009,1981,0.4775,2e3
2009,1982,0.5103,2e3
2009,1983,0.5327,2e3
2009,1984,0.5515,2e3
2009,1985,0.5698,2e3
2009,1986,0.5828,2e3
2009,1987,0.5958,2e3
2009,1988,0.6151,2e3
2009,1989,0.6396,2e3
2009,1990,0.6627,2e3
2009,1991,0.6862,2e3
2009,1992,0.703,2e3
2009,1993,0.7197,2e3
2009,1994,0.7354,2e3
2009,1995,0.751,2e3
2009,1996,0.765,2e3
2009,1997,0.7785,2e3
2009,1998,0.7881,2e3
2009,1999,0.7981,2e3
2009,2000,0.8147,2e3
2009,2001,0.8342,2e3
2009,2002,0.8477,2e3
2009,2003,0.8639,2e3
2009,2004,0.8853,2e3
2009,2005,0.9131,2e3
2009,2006,0.9428,2e3
2009,2007,0.9684,2e3
2009,2008,0.9885,2e3
2009,2009,1,2e3
2009,2010,1.0088,2e3
2009,2011,1.0293,2e3
2009,2012,1.0481,2e3
2009,2013,1.0658,2e3
2009,2014,1.0852,2e3
2009,2015,1.0983,2e3
2009,2016,1.111,2e3
2009,2017,1.1301,2e3
2009,2018,1.1478,2e3
2009,2019,1.167,2e3
2009,2020,1.1886,2e3
2009,2021,1.2121,2e3
2009,2022,1.2364,2e3
2009,2023,1.2613,2e3
2010,1940,0.0809,2e3
2010,1941,0.084,2e3
2010,1942,0.0902,2e3
2010,1943,0.0961,2e3
2010,1944,0.0995,2e3
2010,1945,0.1019,2e3
2010,1946,0.1097,2e3
2010,1947,0.1216,2e3
2010,1948,0.1331,2e3
2010,1949,0.1375,2e3
2010,1950,0.1355,2e3
2010,1951,0.1428,2e3
2010,1952,0.1485,2e3
2010,1953,0.1512,2e3
2010,1954,0.153,2e3
2010,1955,0.1542,2e3
2010,1956,0.1582,2e3
2010,1957,0.1641,2e3
2010,1958,0.1691,2e3
2010,1959,0.1717,2e3
2010,1960,0.1741,2e3
2010,1961,0.1765,2e3
2010,1962,0.1783,2e3
2010,1963,0.1805,2e3
2010,1964,0.1827,2e3
2010,1965,0.1859,2e3
2010,1966,0.1899,2e3
2010,1967,0.1957,2e3
2010,1968,0.2024,2e3
2010,1969,0.2117,2e3
2010,1970,0.2231,2e3
2010,1971,0.2344,2e3
2010,1972,0.2455,2e3
2010,1973,0.2562,2e3
2010,1974,0.2743,2e3
2010,1975,0.3027,2e3
